Title,Price,Number of Buyers,Number of Ratings,Rating,Image Link
"Luxury PV Lycra Stretchable Formal Pants
                            for Men | Stylish Slim Fit Men's Wear Trousers for Office or Party | Mens Fashion Dress
                            Trouser Pant","1,499","100+ bought in past
                        month","1,574","3.8 out of
                                        5 stars",https://m.media-amazon.com/images/I/615JuAzXy7L._AC_UL320_.jpg
Stretchable Formal Pants for Plus Size Men | Stylish Slim Fit Luxury PV Lycra Men's Wear Trousers for Office or Party | Mens Fashion Dress Trouser Pant,"1,599",M.R.P:,47,3.9 out of 5 stars,https://m.media-amazon.com/images/I/61zp08Qj6EL._AC_UL320_.jpg
Men Cargo || Men Cargo Pants || Men Cargo Pants Cotton || Cargos for Men (Cargo-34-37),599,200+ bought in past month,131,4.3 out of 5 stars,https://m.media-amazon.com/images/I/61Q+oTHo0EL._AC_UL320_.jpg
Men Cargo || Men Cargo Pants || Men Cargo Pants Cotton || Cargos for Men (Cago-22-25),519,200+ bought in past month,258,4.1 out of 5 stars,https://m.media-amazon.com/images/I/61LbbOemKBL._AC_UL320_.jpg
Men Cargo || Men Cargo Pants || Men Cargo Pants Cotton || Cargos for Men (Cargo-54-57),779,M.R.P:,17,4.8 out of 5 stars,https://m.media-amazon.com/images/I/61AmN-7qhwL._AC_UL320_.jpg
"Men's Regular Fit Cotton Track Pants for Gym, Running, Jogging, Yoga with Zipper Pockets",469,M.R.P:,N/A,N/A,https://m.media-amazon.com/images/I/618UAu3DZBL._AC_UL320_.jpg
Women's High Rise Viscose Rayon Relaxed Fit Korean Trousers,269,100+ bought in past month,"1,990",3.8 out of 5 stars,https://m.media-amazon.com/images/I/61jfBIZmcmL._AC_UL320_.jpg
Men's Sports Regular Fit Lycra Track Pant with Two Side Pockets,899,50+ bought in past month,125,3.4 out of 5 stars,https://m.media-amazon.com/images/I/51fpbZLqcAL._AC_UL320_.jpg
"MamyPoko Pants Extra Absorb Baby Diapers, XX-Large (XXL), 44 Count, 15-25kg",863,4K+ bought in past month,"156,522",4.3 out of 5 stars,https://m.media-amazon.com/images/I/71uTI-gvUqL._AC_UL320_.jpg
Women's & Girls' Solid Side Split Hem Flare Leg Bell Bottom Pants Trouser,265,100+ bought in past month,353,3.7 out of 5 stars,https://m.media-amazon.com/images/I/51tzz6Ib+PL._AC_UL320_.jpg
Track Pant for Men (GL-TP-1017-XL-BLACK),399,100+ bought in past month,6,5.0 out of 5 stars,https://m.media-amazon.com/images/I/61YUpMgZ+nL._AC_UL320_.jpg
Men's Sports Regular Fit Lycra Track Pant with Two Side Pockets,687,M.R.P:,36,3.4 out of 5 stars,https://m.media-amazon.com/images/I/51hLi4RTeJL._AC_UL320_.jpg
Men's Regular Pants,269,M.R.P:,5,2.1 out of 5 stars,https://m.media-amazon.com/images/I/61OUPH+cr5L._AC_UL320_.jpg
Trouser Pant for Men | Track Pant for Men Loose Fit | Sports Track Pant for Men | Track Pant Men | Men Stylish Track Pant,399,800+ bought in past month,681,3.7 out of 5 stars,https://m.media-amazon.com/images/I/51rgGjt-lnL._AC_UL320_.jpg
Men's Slim Casual Pants,"1,149",M.R.P:,83,3.9 out of 5 stars,https://m.media-amazon.com/images/I/51HQeeg4-sL._AC_UL320_.jpg
Men's Regular Casual Pants,449,M.R.P:,143,4.7 out of 5 stars,https://m.media-amazon.com/images/I/81wEtlsPLRL._AC_UL320_.jpg
Stretchable Lycra Stylish Cargo Pant for Men | Regular Slim Fit | Men's Stretchable Cargos with 5 Pockets | Mens Street Wear Casual Trouser Pants,599,M.R.P:,46,4.8 out of 5 stars,https://m.media-amazon.com/images/I/61ID+ykE9dL._AC_UL320_.jpg
"Women's High Waist Regular Fit Trouser, Elastic Staright Pants, for Office Work & Casual wear (Virat Pant-8)",298,M.R.P:,231,3.4 out of 5 stars,https://m.media-amazon.com/images/I/51j+d-kFcKL._AC_UL320_.jpg
Track Pant for Men | Trouser Pant for Men | Track Pant for Men Loose Fit | Sports Track Pant for Men | Track Pant Men | Men Stylish Track Pant,369,50+ bought in past month,123,4.1 out of 5 stars,https://m.media-amazon.com/images/I/61jPP5eo-zL._AC_UL320_.jpg
Women's & Girls' Solid High Waist with Pockets Cargo Pants,569,100+ bought in past month,"1,091",3.6 out of 5 stars,https://m.media-amazon.com/images/I/61c0YM3aMPL._AC_UL320_.jpg
"Track Pant for Men Slim Fit Joggers for Men for Running, Gym Sports Lower for Men & Boys | Track Pants for Men | Mens Lower | Trousers,",399,100+ bought in past month,4,4.5 out of 5 stars,https://m.media-amazon.com/images/I/41zKXanPdJL._AC_UL320_.jpg
Men's Regular Fit Track pants(Pack of 2),599,200+ bought in past month,"8,352",3.8 out of 5 stars,https://m.media-amazon.com/images/I/71MwNdwIc1L._AC_UL320_.jpg
Luxury Stretchable Casual Pants for Men | Stylish Slim Fit Men's Wear Trousers for Office | Mens Fashion | Modern Mens Trouser,499,M.R.P:,65,4.3 out of 5 stars,https://m.media-amazon.com/images/I/61zytfOkZaL._AC_UL320_.jpg
9500 Men's Super Combed Cotton Rich Regular Fit Trackpants with Side Pockets,999,100+ bought in past month,"7,911",4.2 out of 5 stars,https://m.media-amazon.com/images/I/61H2fYPv4BL._AC_UL320_.jpg
Women Polyester Blend Solid Trousers,259,1K+ bought in past month,"7,641",3.7 out of 5 stars,https://m.media-amazon.com/images/I/51Clvs6gtYL._AC_UL320_.jpg
Boy's Regular Fit Cotton Blend Track Pant,419,100+ bought in past month,663,4.3 out of 5 stars,https://m.media-amazon.com/images/I/51QTZIfWlQL._AC_UL320_.jpg
Men's Slim Pants,"1,249",50+ bought in past month,44,3.8 out of 5 stars,https://m.media-amazon.com/images/I/513NuJFVT5L._AC_UL320_.jpg
Men Cargo || Men Cargo Pants || Men Cargo Pants Cotton || Cargos for Men (Army),549,100+ bought in past month,346,3.7 out of 5 stars,https://m.media-amazon.com/images/I/612kLKWfZ2L._AC_UL320_.jpg
Men Regular Fit Pants,"1,449",M.R.P:,6,2.5 out of 5 stars,https://m.media-amazon.com/images/I/51PhTkOSmVL._AC_UL320_.jpg
Men Cargo || Men Cargo Pants || Men Cargo Pants Cotton || Cargos for Men (Cargo-13-16),549,M.R.P:,237,4.1 out of 5 stars,https://m.media-amazon.com/images/I/61fzN+ynzYL._AC_UL320_.jpg
Men's Stretchable Casual Pants | Scoop Pocket Chinos | Trousers (Slim Fit),699,M.R.P:,"6,065",3.7 out of 5 stars,https://m.media-amazon.com/images/I/61xKRetXvrL._AC_UL320_.jpg
Men's Cotton Slim Fit Casual Chinos Trousers Stretch,595,M.R.P:,"8,640",3.6 out of 5 stars,https://m.media-amazon.com/images/I/51JzfVixyWL._AC_UL320_.jpg
Men's Slim Fit Track pants,449,100+ bought in past month,"17,861",4.0 out of 5 stars,https://m.media-amazon.com/images/I/61WPZm45LPL._AC_UL320_.jpg
Men Cargo || Men Cargo Pants || Men Cargo Pants Cotton || Cargos for Men (Cargo-42-45),549,M.R.P:,82,4.9 out of 5 stars,https://m.media-amazon.com/images/I/61Po+kPFixL._AC_UL320_.jpg
